
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
                  Logger.h    function                              flush     100       2       1
                  Logger.h    function                               stop     101       2       1
                  Logger.h    function                               wait     102       2       1
                  Logger.h    function                              write     103       2       1
                  Logger.h    function                              title     104       2       1
                  Logger.h    function                           instance     105       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Logger.cpp    function                              write      25       4       1
                Logger.cpp    function                              title      30       4       1
                Logger.cpp    function                             attach      37       4       1
                Logger.cpp    function                              start      46      22       5
                Logger.cpp    function                               void      50      14       4
                Logger.cpp    function                            running      71       3       1
                Logger.cpp    function                              pause      77      12       3
                Logger.cpp    function                             paused      92       3       1
                Logger.cpp    function                              flush      98       9       2
                Logger.cpp    function                               stop     110      12       2
                Logger.cpp    function                               wait     125       4       1
                Logger.cpp    function                            ~Logger     132       3       1
                Logger.cpp    function                              write      25       4       1
                Logger.cpp    function                              title      30       4       1
                Logger.cpp    function                             attach      37       4       1
                Logger.cpp    function                              start      46      22       5
                Logger.cpp    function                               void      50      14       4
